Material,Precursor 1,Precursor 2,Precursor 3,Precursor 4,GPC [Å],T [°C],Refs.
,Gd( iPr Cp) 3,TMA,H 2 O,,4.50-5.00,200-350,[295]
ZrO 2 -Gd 2 O 3,Zr( Me Cp) 2 Me(OMe),Gd(thd) 3,O 3,,0.39-0.53,300,[296]
GdScO 3,Gd( iPr2 amd) 3,Sc( Et2 amd) 3,H 2 O,,2,310,[103]
,Gd(thd) 3,Sc(thd) 3,O 3,,0.21,300,[297]
,Gd( iPr Cp) 3,Sc( Me Cp) 3,H 2 O,,2.2,300,"[194,209]"
GdFeO 3,GdFe(O t Bu) 6 (C 5 H 5 N) 2,O 3,,,0.20-0.30,200,[298]
GdCoO 3,Gd(thd) 3,Co(thd) 2,O 3,,0.24,300,[202]
Gd 3 Ga 5 O 12,Gd(thd) 3,TEGa,O 3,,0.19,350,[185]
Gd 0.9 Ca 0.1 CoO 3,Gd(thd) 3,Co(thd) 2,Ca(thd) 2,O 3,0.3,300,[202]
GdN,Gd( Me Cp) 3,N 2 plasma,,,0.33,150-300,[62]
GdF 3,Gd(thd) 3,NH 4 F,,,0.26,300,[63]
Tb 2 O 3 -Al 2 O 3,Tb(thd) 3,TMA,O 3,,_,350,[299]
TbMnO 3,Tb(thd) 3,Mn(thd) 2,O 3,,0.18,250-325,[221]
TbScO 3,Tb(thd) 3,Sc(thd) 3,O 3,,0.4,300,[300]
TbF 3,Tb(thd) 3,TiF 4,,,0.75,175-350,[191]
Dy 2 O 3,Dy(thd) 3,O 3,,,0.31,300,"[82,180]"
,Dy(dpdmg) 3,H 2 O,,,1,200-350,"[107,289]"
,Dy( iPr2 amd)( iPr Cp) 2,O 2 plasma,,,0.3,140-230,[301]
,Dy( iPr2 amd)( iPr Cp) 2,H 2 O,,,1.16-1.38,300-350,[118]
,Dy( iPr2 amd)( iPr Cp) 2,O 3,,,_,200-350,[118]
Ho 2 O 3,Ho(thd) 3,O 3,,,0.25,300,[82]
HoF 3,Ho(thd) 3,NbF 5,,,1,250-275,[134]
Er 2 O 3,Er(thd) 3,O 3,,,0.20-0.25,250-375,"[82,84,140,214,278]"
,Er(thd) 3,O 2 plasma,,,0.5,200-300,[302]
,Er( Me Cp) 3,H 2 O,,,1.5,250-350,"[86,278]"
,Er( Me Cp) 3,O 3,,,0.12,170-330,"[87,207]"
,Erbitel 12,O 3,,,0.20-0.40,175-300,[207]
,Er( tBu2 amd) 3,O 3,,,0.37-0.55,225-300,[101]
,Er(dpdmg) 3,H 2 O,,,1.1,150-275,[108]
,Er( iPr2 amd)( Me Cp) 2,H 2 O,,,0.5,180,[301]
,Er( iPr2 amd)( Me Cp) 2,O 2 plasma,,,0.7,180,[301]
,Er( iPr2 amd)( Me Cp) 2,H 2 O,,,1.10-1.20,225-275,[78]
,Er( iPr2 amd)( Me Cp) 2,O 3,,,0.20-1.0,200-325,[78]
,Er( iPr Cp) 3,H 2 O,,,0.80-1.20,200-300,[78]
,Er( iPr Cp) 3,O 3,,,0.30-0.80,200-300,[78]
,Er( nBu Cp) 3,H 2 O,,,1.2,250-325,[78]
,Er( nBu Cp) 3,O 3,,,0.40-0.80,225-350,[78]
Er 1-x Ti x O y,Er( Me Cp) 3,TDEAT,O 3,,0.5-10.64,175-275,[303]
ZrO 2 -Er 2 O 3,Zr( Me Cp) 2 Me(OMe),Er(thd) 3,O 3,,0.2,350,[34]
"(Er,Ga) 2 O 3",Er(thd) 3,Ga(acac) 3,O 3,,0.25-0.28,350,[304]
,Er( Me Cp) 3,Ga 2 (NMe 2 ) 6,H 2 O,,0.95-1.00,250,[304]
ErFeO 3,Er(thd) 3,Fe(thd) 3,O 3,,1,280-300,[305]
Tm 2 O 3,Tm(thd) 3,O 3,,,0.22,300,"[82,306,307]"
,Tm(Cp) 3,H 2 O,,,1.5,200-300,[308]
Yb 2 O 3,Yb(thd) 3,O 3,,,0.15-0.2,250-400,"[139,148,309]"
,Yb( Me Cp) 3,H 2 O,,,1,180-375,[207]
Yb 3 Al 5 O 12,Yb(thd) 3,TMA,O 3,,0.2,350,[149]
Yb x Ti y O z,Yb(thd) 3,O 3,TiCl 4,H 2 O,0.36-0.37,300,[293]
YbMnO 3,Yb(thd) 3,Mn(thd) 2,O 3,,0.18,275-300,[221]
YbVO 4,Yb(thd) 3,VO(thd) 2,O 3,,0.08-0.23,240,[310]
Lu 2 O 3,Lu( SiMe3 Cp) 2 Cl,H 2 O,,,0.25,360-370,"[311,312]"
,Lu( iPr Cp) 3,H 2 O,,,_,330,[80]
LuMnO 3,Lu(thd) 3,Mn(thd) 3,O 3,,0.18,275-300,[221]
LuAlO 3,Lu(thd) 3,TMA,O 3,,0.35,300,[313]
,Lu( iPr Cp) 3,TDEAA,O 3,,1.3,250,[135]
,Lu( iPr Cp) 3,TDEAA,H 2 O,,1.3,250,[135]
Lu 3 Al 5 O 12,Lu(thd) 3,TMA,O 3,,0.19,350,[150]
Lu,Lu(thd) 3,O 3,,,0.3,230,[314]
LuSi 1.5 O 5,Lu(tmsa) 3,H 2 O/ O 3,,,0.60-4.3,280-380,"[82,315]"
Lu 3 Ga 5 O 12,Lu(thd) 3,Ga(C 2 H 5 ) 3,O 3,,0.2,350,[316]
